Código CVM,Empresa,Categoria,Tipo,Espécie,Data Referência,Data Entrega,Status,V,Modalidade,download
00117-1,001171 BCO ESTADO DO PARA S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191001 01/10/2019 15:14,Ativo,1,AP,"OpenDownloadDocumentos('238583','1','713587','IPE')"
00130-9,001309 BCO MERCANTIL DE INVESTIMENTOS S.A.,Reunião da Administração,Conselho de Administração,Renúncia Diretor ExecutivoAta,20190930 30/09/2019 10:00,20191001 01/10/2019 12:52,Inativo,1,AP,"OpenDownloadDocumentos('238558','1','713561','IPE')"
00130-9,001309 BCO MERCANTIL DE INVESTIMENTOS S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 17:49,Ativo,2,RE,"OpenDownloadDocumentos('88504','2','001309FRE201920190200088504-74','')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicação sobre Transação entre Partes Relacionadas,,Aditivos IADs -,20190920 20/09/2019,20191001 01/10/2019 19:06,Inativo,1,AP,"OpenDownloadDocumentos('238651','1','713664','IPE')"
00243-7,002437 CENTRAIS ELET BRAS S.A. - ELETROBRAS,Comunicação sobre Transação entre Partes Relacionadas,,TPR 1 Eletrobras Petrobras - TPR 2 CSC (Sistema Eletrobras) -,20190920 20/09/2019,20191001 01/10/2019 19:38,Ativo,2,RE,"OpenDownloadDocumentos('238704','2','713717','IPE')"
00246-1,002461 CENTRAIS ELET DE SANTA CATARINA S.A.,Reunião da Administração,Conselho de Administração,"Alteração de Membros do Conselho de Administração,Autorização para realização de Assembleia Geral de Acionistas para eleição de membros do Conselho de Administração,Orientação de voto para adequações ao Estatuto Social e Acordo de Acionistas da SCGÁS,Orientação de voto para Aumento de Capital e Integralização dos Recursos na SPE EDP Transmissão Aliança SC S.A.,Aprovado Plano de Negócios em Transmissão de Energia e Autorização para Realização de Chamada Pública para Formação de Parceria em Transmissão de Energia.,Aprovado Plano de Negócios do ATF-3 referente à SPE EDP Transmissão Aliança SCAta",20190926 26/09/2019 09:00,20191001 01/10/2019 10:12,Ativo,1,AP,"OpenDownloadDocumentos('238512','1','713515','IPE')"
00305-0,003050 AMPLA ENERGIA E SERVICOS S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 19:06,Inativo,3,RC,"OpenDownloadDocumentos('88509','3','003050FRE201920190300088509-88','')"
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Assembleia,AGE,"Eleição de membros titular e suplente para o Conselho Fiscal da Companhia,Alteração de jornal para publicação dos atos societáriosEdital de Convocação",20191016 16/10/2019 09:00,20191001 01/10/2019 17:18,Ativo,1,AP,"OpenDownloadDocumentos('238608','1','713616','IPE')"
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Assembleia,AGE,"Eleição de membro titular e suplente para o Conselho Fiscal da Companhia,Alteração de jornal para publicação dos atos societáriosProposta da Administração",20191016 16/10/2019 09:00,20191001 01/10/2019 17:20,Inativo,1,AP,"OpenDownloadDocumentos('238610','1','713618','IPE')"
00320-4,003204 CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Reunião da Administração,Conselho de Administração,Operação de debêntures da Investida Ventos do SulSumário das Decisões,20191001 01/10/2019 12:30,20191001 01/10/2019 17:24,Inativo,1,AP,"OpenDownloadDocumentos('238612','1','713620','IPE')"
00332-8,003328 CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,Comunicação sobre Transação entre Partes Relacionadas,,CSC - Sistema Eletrobras -,20190920 20/09/2019,20191001 01/10/2019 19:58,Ativo,1,AP,"OpenDownloadDocumentos('238711','1','713724','IPE')"
00417-0,004170 VALE S.A.,Fato Relevante,,Vale informa sobre Declarações de Condição de Estabilidade -,20191001 01/10/2019,20191001 01/10/2019 08:32,Ativo,1,AP,"OpenDownloadDocumentos('238492','1','713494','IPE')"
00482-0,004820 BRASKEM S.A.,Assembleia,AGE,Mapa do EscrituradorMapa do Escriturador,20191003 03/10/2019 10:30,20191001 01/10/2019 16:22,Ativo,1,AP,"OpenDownloadDocumentos('238601','1','713608','IPE')"
00482-0,004820 BRASKEM S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 23:18,Inativo,7,RE,"OpenDownloadDocumentos('88512','7','004820FRE201920190700088512-71','')"
00482-0,004820 BRASKEM S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 20:54,Inativo,6,RE,"OpenDownloadDocumentos('88511','6','004820FRE201920190600088511-86','')"
00576-2,005762 ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 10:43,Inativo,3,RE,"OpenDownloadDocumentos('88498','3','005762FRE201920190300088498-73','')"
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191001 01/10/2019 10:55,Ativo,1,AP,"OpenDownloadDocumentos('238517','1','713520','IPE')"
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191001 01/10/2019 10:58,Ativo,1,AP,"OpenDownloadDocumentos('238518','1','713521','IPE')"
00634-3,006343 TUPY S.A.,Assembleia,AGE,"Reforma Estatutária,Condições gerais para celebração de contrato de indenidade,Plano de remuneração baseado em açõesEdital de Convocação",20191023 23/10/2019 14:00,20191001 01/10/2019 17:51,Ativo,1,AP,"OpenDownloadDocumentos('238624','1','713633','IPE')"
00634-3,006343 TUPY S.A.,Assembleia,AGE,"Reforma Estatutária,Condições gerais para celebração de contrato de indenidade,Plano de Remuneração baseado em açõesProposta da Administração",20191023 23/10/2019 14:00,20191001 01/10/2019 17:52,Ativo,1,AP,"OpenDownloadDocumentos('238625','1','713634','IPE')"
00670-0,006700 HOTEIS OTHON S.A.,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Contas demonstrativas mensais,,20190930 30/09/2019,20191001 01/10/2019 15:40,Ativo,1,AP,"OpenDownloadDocumentos('238594','1','713598','IPE')"
00754-4,007544 TEXTIL RENAUXVIEW S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191001 01/10/2019 10:19,Ativo,1,AP,"OpenDownloadDocumentos('238513','1','713516','IPE')"
00819-2,008192 TREVISA INVESTIMENTOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191001 01/10/2019 11:15,Ativo,1,AP,"OpenDownloadDocumentos('238533','1','713536','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Alberto Calcagnotto -,20191001 01/10/2019,20191001 01/10/2019 11:05,Ativo,1,AP,"OpenDownloadDocumentos('238520','1','713523','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Carlos Zignani -,20191001 01/10/2019,20191001 01/10/2019 11:06,Ativo,1,AP,"OpenDownloadDocumentos('238522','1','713525','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Sergio Quintana -,20191001 01/10/2019,20191001 01/10/2019 11:11,Ativo,1,AP,"OpenDownloadDocumentos('238527','1','713530','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Alex E da Silva -,20191001 01/10/2019,20191001 01/10/2019 14:41,Ativo,1,AP,"OpenDownloadDocumentos('238566','1','713570','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade James Bellini -,20191001 01/10/2019,20191001 01/10/2019 14:43,Ativo,1,AP,"OpenDownloadDocumentos('238568','1','713572','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade José Bitencurtt -,20191001 01/10/2019,20191001 01/10/2019 14:44,Ativo,1,AP,"OpenDownloadDocumentos('238569','1','713573','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade José A Valiati -,20191001 01/10/2019,20191001 01/10/2019 14:46,Ativo,1,AP,"OpenDownloadDocumentos('238570','1','713574','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Luciano Resner -,20191001 01/10/2019,20191001 01/10/2019 14:47,Ativo,1,AP,"OpenDownloadDocumentos('238571','1','713575','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Mauro Bellini -,20191001 01/10/2019,20191001 01/10/2019 14:48,Ativo,1,AP,"OpenDownloadDocumentos('238572','1','713576','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Rodrigo Pikussa -,20191001 01/10/2019,20191001 01/10/2019 14:50,Ativo,1,AP,"OpenDownloadDocumentos('238573','1','713577','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade William Cordeiro -,20191001 01/10/2019,20191001 01/10/2019 14:51,Ativo,1,AP,"OpenDownloadDocumentos('238574','1','713578','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Alessandro Fereira -,20191001 01/10/2019,20191001 01/10/2019 14:52,Ativo,1,AP,"OpenDownloadDocumentos('238575','1','713579','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Cristiano Costa -,20191001 01/10/2019,20191001 01/10/2019 14:54,Ativo,1,AP,"OpenDownloadDocumentos('238576','1','713580','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Leandro Basso -,20191001 01/10/2019,20191001 01/10/2019 14:58,Ativo,1,AP,"OpenDownloadDocumentos('238578','1','713582','IPE')"
00845-1,008451 MARCOPOLO S.A.,Contratos de Indenidade,Contratos de indenidade e aditivos,Contrato Indenidade Mauricio O B Castilhos -,20191001 01/10/2019,20191001 01/10/2019 14:59,Ativo,1,AP,"OpenDownloadDocumentos('238580','1','713584','IPE')"
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicação sobre Transação entre Partes Relacionadas,,Comunicação sobre Transação com Parte Relacionada - PB x Eletrobras - 20/09/2019 -,20190920 20/09/2019,20191001 01/10/2019 17:57,Ativo,1,AP,"OpenDownloadDocumentos('238627','1','713636','IPE')"
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Petrobras sobre Acordo Coletivo de Trabalho -,20191001 01/10/2019,20191001 01/10/2019 19:41,Ativo,1,AP,"OpenDownloadDocumentos('238705','1','713718','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Outros documentos,Relatório Mensal de Atividades - Ago/19 -,20190930 30/09/2019,20191001 01/10/2019 20:33,Ativo,1,AP,"OpenDownloadDocumentos('238717','1','713730','IPE')"
01120-7,011207 TECNOSOLO ENGENHARIA S.A.,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Plano de Recuperação,2º Termo Aditivo ao Plano de Recuperação Judicial -,20180208 08/02/2018,20191001 01/10/2019 17:05,Ativo,1,AP,"OpenDownloadDocumentos('238603','1','713611','IPE')"
01120-7,011207 TECNOSOLO ENGENHARIA S.A.,Formulário Cadastral,,,20190101 2019,20191001 01/10/2019 16:38,Ativo,2,RE,"OpenDownloadDocumentos('88503','2','011207FCA000020190200088503-78','FCA')"
01125-8,011258 TELEC BRASILEIRAS S.A. TELEBRAS,Fato Relevante,,Assembleia Geral Extraordinária - Aumento de capital -,20190930 30/09/2019,20191001 01/10/2019 08:32,Ativo,1,AP,"OpenDownloadDocumentos('238493','1','713495','IPE')"
01125-8,011258 TELEC BRASILEIRAS S.A. TELEBRAS,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Aumento do Capital Social (inciso I, art. 166 da Lei 6404),Reforma EstatutáriaEdital de Convocação",20191031 31/10/2019 15:00,20191001 01/10/2019 08:50,Ativo,1,AP,"OpenDownloadDocumentos('238500','1','713502','IPE')"
01125-8,011258 TELEC BRASILEIRAS S.A. TELEBRAS,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Aumento do Capital Social (inciso I, art. 166 da Lei 6404),Reforma EstatutáriaProposta da Administração",20191031 31/10/2019 15:00,20191001 01/10/2019 08:56,Inativo,1,AP,"OpenDownloadDocumentos('238504','1','713506','IPE')"
01125-8,011258 TELEC BRASILEIRAS S.A. TELEBRAS,Reunião da Administração,Conselho de Administração,"Autorização para convocação de Assembleia Geral Extraordinária,Aumento do Capital Social (inciso I, art. 166 da Lei 6404),Reforma Estatutária,Eleição de ConselheirosAta",20190909 09/09/2019 14:30,20191001 01/10/2019 15:43,Ativo,1,AP,"OpenDownloadDocumentos('238595','1','713599','IPE')"
01125-8,011258 TELEC BRASILEIRAS S.A. TELEBRAS,Assembleia,AGE,Boletim de voto a distância,20191031 31/10/2019 15:00,20191001 01/10/2019 20:03,Ativo,1,AP,"OpenDownloadDocumentos('238712','1','713725','IPE')"
01193-2,011932 IOCHPE MAXION S.A.,Reunião da Administração,Conselho de Administração,Aumento de Capital Social de ControladaAta,20190930 30/09/2019 10:00,20191001 01/10/2019 17:11,Ativo,1,AP,"OpenDownloadDocumentos('238606','1','713614','IPE')"
01377-3,013773 PBG S/A,Fato Relevante,,Negociação da venda do ativo tributário - Polo Ativo -,20190930 30/09/2019,20191001 01/10/2019 19:48,Ativo,2,RE,"OpenDownloadDocumentos('238709','2','713722','IPE')"
01420-6,014206 BRB BCO DE BRASILIA S.A.,Assembleia,AGE,Mapa Consolidado de Voto a DistânciaMapa consolidado de voto a distância,20191002 02/10/2019 10:00,20191001 01/10/2019 19:26,Ativo,1,AP,"OpenDownloadDocumentos('238676','1','713689','IPE')"
01431-1,014311 CIA PARANAENSE DE ENERGIA - COPEL,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Conversão de Ações -,20191001 01/10/2019,20191001 01/10/2019 17:55,Ativo,1,AP,"OpenDownloadDocumentos('238626','1','713635','IPE')"
01432-0,014320 USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Reunião da Administração,Conselho de Administração,Emissão de DebênturesAta,20190920 20/09/2019 13:00,20191001 01/10/2019 19:44,Ativo,1,AP,"OpenDownloadDocumentos('238707','1','713720','IPE')"
01445-1,014451 COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 15:23,Inativo,3,RE,"OpenDownloadDocumentos('88502','3','014451FRE201920190300088502-71','')"
01482-6,014826 CIA BRASILEIRA DE DISTRIBUICAO,Reunião da Administração,Conselho de Administração,Eleição da Diretoria Executiva de Relações com InvestidoresAta,20191001 01/10/2019 09:30,20191001 01/10/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('238631','1','713640','IPE')"
01610-1,016101 GAFISA S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 09:19,Inativo,12,RE,"OpenDownloadDocumentos('88496','12','016101FRE201920191200088496-76','')"
01629-2,016292 BRF S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Operação Romanos -,20191001 01/10/2019,20191001 01/10/2019 12:47,Ativo,1,AP,"OpenDownloadDocumentos('238554','1','713557','IPE')"
01637-3,016373 CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,Aviso aos Acionistas,Outros avisos,Dividendos/Juros sobre Capital Próprio -,20190930 30/09/2019,20191001 01/10/2019 10:30,Ativo,1,AP,"OpenDownloadDocumentos('238515','1','713518','IPE')"
01660-8,016608 EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 15:05,Inativo,4,RC,"OpenDownloadDocumentos('88499','4','016608FRE201920190400088499-80','')"
01699-3,016993 EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 08:47,Inativo,6,RE,"OpenDownloadDocumentos('88495','6','016993FRE201920190600088495-73','')"
01792-2,017922 BRAZILIAN FINANCE E REAL ESTATE S.A.,Reunião da Administração,Conselho de Administração,Eleição de Diretor(es)Ata,20190906 06/09/2019 19:30,20191001 01/10/2019 15:11,Ativo,1,AP,"OpenDownloadDocumentos('238581','1','713585','IPE')"
01792-2,017922 BRAZILIAN FINANCE E REAL ESTATE S.A.,Assembleia,AGE,Eleição de Membros dos Conselhos de Administração e FiscalAta,20190906 06/09/2019 19:00,20191001 01/10/2019 15:11,Ativo,1,AP,"OpenDownloadDocumentos('238582','1','713586','IPE')"
01828-7,018287 CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Pagamento de proventos dos CRAs da 1ª Emissão/ 2ª Série -,20191001 01/10/2019,20191001 01/10/2019 11:33,Ativo,1,AP,"OpenDownloadDocumentos('238547','1','713550','IPE')"
01836-8,018368 RIO PARANAPANEMA ENERGIA S.A.,Formulário de Referência,,,20190101 2019,20191001 01/10/2019 19:23,Inativo,2,RE,"OpenDownloadDocumentos('88510','2','018368FRE201920190200088510-85','')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 89 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238719','1','713732','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 96 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238720','1','713733','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 97 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238721','1','713734','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 99 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238722','1','713735','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 134 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238723','1','713736','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 137 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238724','1','713737','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 138 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238725','1','713738','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 140 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:05,Ativo,1,AP,"OpenDownloadDocumentos('238726','1','713739','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRA 6 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:17,Ativo,1,AP,"OpenDownloadDocumentos('238727','1','713740','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRA 7 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:17,Ativo,1,AP,"OpenDownloadDocumentos('238728','1','713741','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 80 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:17,Ativo,1,AP,"OpenDownloadDocumentos('238729','1','713742','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 128 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:17,Ativo,1,AP,"OpenDownloadDocumentos('238730','1','713743','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 130 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:17,Ativo,1,AP,"OpenDownloadDocumentos('238731','1','713744','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 131 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238732','1','713745','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 135 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238733','1','713746','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 142 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238734','1','713747','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 143 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238735','1','713748','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 145 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238736','1','713749','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 156 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238737','1','713750','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 159 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238738','1','713751','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 160 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238739','1','713752','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 167 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238740','1','713753','IPE')"
01840-6,018406 RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,DF - Patrimônio separado,,DF - Patrimonio Separado - CRI 169 - 30/06/2019 -,20190630 30/06/2019,20191001 01/10/2019 21:18,Ativo,1,AP,"OpenDownloadDocumentos('238741','1','713754','IPE')"
