cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download,,
00403-0,004030 CIA SIDERURGICA NACIONAL,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia -,20190801 01/08/2019,20190801 01/08/2019 18:29,Ativo,1,AP,"OpenDownloadDocumentos('229066','1','703177','IPE')",,
00417-0,004170 VALE S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Desempenho da Vale no 2T19 -,20190801 01/08/2019,20190801 01/08/2019 09:41,Ativo,1,AP,"OpenDownloadDocumentos('228954','1','703062','IPE')",,
00417-0,004170 VALE S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Vale anuncia a conclusão da aquisição da Ferrous Resources Limited -,20190801 01/08/2019,20190801 01/08/2019 09:50,Ativo,1,AP,"OpenDownloadDocumentos('228956','1','703064','IPE')",,
00417-0,004170 VALE S.A.,ITR,,,20190630 30/06/2019,20190801 01/08/2019 17:31,Ativo,2,RE,"OpenDownloadDocumentos('85973','2','004170ITR300620190200085973-71','ITR')",,
00525-8,005258 RAIA DROGASIL S.A.,Assembleia,AGE,"Aprovação da Incorporação,Autorização para os administradores da Companhia praticarem todos os atos necessários à implementação da Incorporação,Exame e apreciação do Laudo de Avaliação,Exame, discussão e apreciação do Protocolo e Justificação de Incorporação,Ratificação da contratação da Apsis Consultoria e Avaliações Ltda para elaboração laudo de avaliação do patrimônio líquido da OnofreAta",20190801 01/08/2019 08:00,20190801 01/08/2019 18:04,Inativo,1,AP,"OpenDownloadDocumentos('229039','1','703150','IPE')",,
00525-8,005258 RAIA DROGASIL S.A.,Assembleia,AGE,Mapa Final de Votação SintéticoMapa Final de Votação Sintético,20190801 01/08/2019 08:00,20190801 01/08/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('229041','1','703152','IPE')",,
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190801 01/08/2019 09:03,Ativo,1,AP,"OpenDownloadDocumentos('228946','1','703054','IPE')",,
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190701 07/2019,20190801 01/08/2019 09:06,Ativo,1,AP,"OpenDownloadDocumentos('228947','1','703055','IPE')",,
00617-3,006173 TAURUS ARMAS S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia -,20190801 01/08/2019,20190801 01/08/2019 17:00,Ativo,1,AP,"OpenDownloadDocumentos('229022','1','703132','IPE')",,
00621-1,006211 FRAS-LE S.A.,Reunião da Administração,Conselho de Administração,Formalização transação com controlada do exterior.Ata,20190730 30/07/2019 15:00,20190801 01/08/2019 08:57,Ativo,1,AP,"OpenDownloadDocumentos('228945','1','703053','IPE')",,
00634-3,006343 TUPY S.A.,Reunião da Administração,Conselho de Administração,Contratação de seguro garantiaAta,20190725 25/07/2019 09:15,20190801 01/08/2019 17:30,Ativo,1,AP,"OpenDownloadDocumentos('229030','1','703140','IPE')",,
00650-5,006505 VIA VAREJO S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 17:30,Inativo,6,RE,"OpenDownloadDocumentos('85972','6','006505FRE201920190600085972-72','')",,
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,Boletim de voto a distância,20190902 02/09/2019 09:00,20190801 01/08/2019 21:25,Ativo,1,AP,"OpenDownloadDocumentos('229134','1','703246','IPE')",,
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,"Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,Destinação dos ResultadosEdital de Convocação",20190902 02/09/2019 09:00,20190801 01/08/2019 21:26,Ativo,1,AP,"OpenDownloadDocumentos('229135','1','703247','IPE')",,
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,proposta da Administração da AGO de 02.09.2019Proposta da Administração,20190902 02/09/2019 09:00,20190801 01/08/2019 21:30,Ativo,1,AP,"OpenDownloadDocumentos('229136','1','703248','IPE')",,
00759-5,007595 INEPAR SA IND E CONSTRUCOES,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 14:05,Inativo,9,RE,"OpenDownloadDocumentos('85966','9','007595FRE201920190900085966-75','')",,
00904-0,009040 NADIR FIGUEIREDO IND E COM S.A.,Aviso aos Acionistas,Outros avisos,"Direito de retirada da Newco, reembolso das ações, prazo e forma do exercício de retirada -",20190801 01/08/2019,20190801 01/08/2019 08:09,Ativo,1,AP,"OpenDownloadDocumentos('228928','1','703036','IPE')",,
00904-0,009040 NADIR FIGUEIREDO IND E COM S.A.,Assembleia,AGE,"Alteração do endereço da sede da companhia,Aprovação da Justificação Cisão Parcial com versão do acervo cindido para companhia a ser constituida,Cisão Parcial e redução do capital,Consolidação do Estatuto Social,Contratação de empresa especializada para elaboração de laudo de avaliação do acervo cindido,Estatuto Social e eleição dos administradores da nova sociedade,Laudo de AvaliaçãoAta",20190731 31/07/2019 11:00,20190801 01/08/2019 10:27,Inativo,2,RE,"OpenDownloadDocumentos('228959','2','703067','IPE')",,
00939-3,009393 PARANAPANEMA S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,20190731 31/07/2019,20190801 01/08/2019 09:55,Ativo,1,AP,"OpenDownloadDocumentos('228958','1','703066','IPE')",,
00939-3,009393 PARANAPANEMA S.A.,Reunião da Administração,Conselho de Administração,"(1) O Conselho de Administração recebeu e consignou a renúncia apresentada pela Sra. Luiza Damasio Ribeiro do Rosario e pelo Sr. Luiz Tarquínio Sardinha Ferro, aos cargos de membros titulares do CA.,(2) O Conselho de Administração, conforme recomendação do Comitê de Auditoria, por unanimidade de votos e sem ressalvas, aprovou o Relatório da Administração e as Informações Trimestrais do 2T19.,(3) O Conselho de Administração, por unanimidade de votos e sem ressalvas, aprovou a alteração e atualização da Política de Divulgação de Informações e da Política de Negociação de Valores Mobiliários,(4) O Conselho de Administração, por unanimidade de votos e sem ressalvas, aprovou a extinção do Comitê de Estratégia da Companhia.Ata",20190801 01/08/2019 10:00,20190801 01/08/2019 19:17,Ativo,1,AP,"OpenDownloadDocumentos('229119','1','703230','IPE')",,
00939-3,009393 PARANAPANEMA S.A.,Dados Econômico-Financeiros,Press-release,Release - 2T19 - versão Português e Inglês -,20190801 01/08/2019,20190801 01/08/2019 19:56,Cancelado,1,AP,"OpenDownloadDocumentos('229124','1','703235','IPE')",,
00939-3,009393 PARANAPANEMA S.A.,ITR,,,20190630 30/06/2019,20190801 01/08/2019 19:36,Inativo,1,AP,"OpenDownloadDocumentos('85985','1','009393ITR300620190100085985-76','ITR')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Dados Econômico-Financeiros,Press-release,Desempenho da Petrobras no 2T19 -,20190630 30/06/2019,20190801 01/08/2019 20:54,Ativo,1,AP,"OpenDownloadDocumentos('229130','1','703242','IPE')",,
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Fato Relevante,,Petrobras aprova pagamento de remuneração aos acionistas -,20190801 01/08/2019,20190801 01/08/2019 22:11,Ativo,1,AP,"OpenDownloadDocumentos('229140','1','703252','IPE')",,
00951-2,009512 PETRÓLEO BRASILEIRO S.A. - PETROBRAS,ITR,,,20190630 30/06/2019,20190801 01/08/2019 21:16,Ativo,1,AP,"OpenDownloadDocumentos('85986','1','009512ITR300620190100085986-75','ITR')",,
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190801 01/08/2019 11:04,Ativo,1,AP,"OpenDownloadDocumentos('228967','1','703075','IPE')",,
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Plano de Recuperação,Plano de Recuperação Judicial - Versão 02 -,20190731 31/07/2019,20190801 01/08/2019 19:20,Ativo,1,AP,"OpenDownloadDocumentos('229120','1','703231','IPE')",,
01121-5,011215 TECBLU TECELAGEM BLUMENAU S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190701 07/2019,20190801 01/08/2019 09:42,Ativo,1,AP,"OpenDownloadDocumentos('228955','1','703063','IPE')",,
01139-8,011398 TRONOX PIGMENTOS DO BRASIL S.A.,Estatuto Social,,,20190723 23/07/2019,20190801 01/08/2019 13:40,Ativo,1,AP,"OpenDownloadDocumentos('229008','1','703116','IPE')",,
01139-8,011398 TRONOX PIGMENTOS DO BRASIL S.A.,Formulário Cadastral,,,20190101 2019,20190801 01/08/2019 14:35,Inativo,2,RE,"OpenDownloadDocumentos('85967','2','011398FCA000020190200085967-72','FCA')",,
01193-2,011932 IOCHPE MAXION S.A.,Fato Relevante,,Contrato de Compra e Venda de Ações Amsted-Maxion Fundição -,20190801 01/08/2019,20190801 01/08/2019 18:23,Ativo,1,AP,"OpenDownloadDocumentos('229055','1','703166','IPE')",,
01193-2,011932 IOCHPE MAXION S.A.,Reunião da Administração,Conselho de Administração,Contrato de Compra e Venda de Ações Amsted-Maxion FundiçãoAta,20190731 31/07/2019 11:00,20190801 01/08/2019 18:24,Ativo,1,AP,"OpenDownloadDocumentos('229056','1','703167','IPE')",,
01199-1,011991 WETZEL S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 15:59,Ativo,2,RE,"OpenDownloadDocumentos('85968','2','011991FRE201920190200085968-73','')",,
01219-0,012190 BOMBRIL S.A.,Fato Relevante,,"Repactuação das Debêntures da 3º Emissão Privada, Não Conversíveis em Ações -",20190801 01/08/2019,20190801 01/08/2019 19:08,Ativo,1,AP,"OpenDownloadDocumentos('229117','1','703228','IPE')",,
01444-3,014443 CIA SANEAMENTO BASICO EST SAO PAULO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Resposta da Arsesp ao pedido de Prorrogação de prazo - Consulta Pública -,20190801 01/08/2019,20190801 01/08/2019 21:56,Ativo,1,AP,"OpenDownloadDocumentos('229138','1','703250','IPE')",,
01476-1,014761 CIA HERING,Dados Econômico-Financeiros,Press-release,Release de Resultados 2T19 -,20190630 30/06/2019,20190801 01/08/2019 18:58,Ativo,1,AP,"OpenDownloadDocumentos('229111','1','703222','IPE')",,
01476-1,014761 CIA HERING,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,Versão em InglêsDemonstrações Financeiras em IFRS,20190630 30/06/2019,20190801 01/08/2019 19:35,Cancelado,1,AP,"OpenDownloadDocumentos('229122','1','703233','IPE')",,
01476-1,014761 CIA HERING,Comunicação sobre Transação entre Partes Relacionadas,,Atualização periodica dos contratos com mesmo grupo e com partes relacionadas -,20190630 30/06/2019,20190801 01/08/2019 19:38,Ativo,1,AP,"OpenDownloadDocumentos('229123','1','703234','IPE')",,
01476-1,014761 CIA HERING,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,Versão em InglêsDemonstrações Financeiras em IFRS,20190630 30/06/2019,20190801 01/08/2019 20:08,Ativo,1,AP,"OpenDownloadDocumentos('229127','1','703239','IPE')",,
01476-1,014761 CIA HERING,ITR,,,20190630 30/06/2019,20190801 01/08/2019 18:46,Ativo,1,AP,"OpenDownloadDocumentos('85980','1','014761ITR300620190100085980-84','ITR')",,
01542-3,015423 ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ITR,,,20190630 30/06/2019,20190801 01/08/2019 22:14,Ativo,1,AP,"OpenDownloadDocumentos('85989','1','015423ITR300620190100085989-80','ITR')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Redução de Capital da CompanhiaEdital de Convocação",20190819 19/08/2019 10:00,20190801 01/08/2019 23:45,Ativo,1,AP,"OpenDownloadDocumentos('229142','1','703254','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação",20190819 19/08/2019 11:00,20190801 01/08/2019 23:46,Inativo,1,AP,"OpenDownloadDocumentos('229143','1','703255','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação",20190819 19/08/2019 12:00,20190801 01/08/2019 23:48,Ativo,1,AP,"OpenDownloadDocumentos('229144','1','703256','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação",20190819 19/08/2019 13:00,20190801 01/08/2019 23:48,Ativo,1,AP,"OpenDownloadDocumentos('229145','1','703257','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação",20190819 19/08/2019 14:00,20190801 01/08/2019 23:48,Ativo,1,AP,"OpenDownloadDocumentos('229146','1','703258','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,"Autorização para que a Companhia e o Agente Fiduciário pratiquem e assinem quaisquer atos necessários para o fiel cumprimento da Redução de Capital,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação",20190819 19/08/2019 15:00,20190801 01/08/2019 23:49,Ativo,1,AP,"OpenDownloadDocumentos('229147','1','703259','IPE')",,
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Assembleia,AGDEB,Autorização prévia para a Companhia realizar uma redução do seu capital socialEdital de Convocação,20190819 19/08/2019 15:00,20190801 01/08/2019 23:49,Ativo,1,AP,"OpenDownloadDocumentos('229147','1','703259','IPE')",,
01629-2,016292 BRF S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Notícia Valor Econômico Follow-on -,20190801 01/08/2019,20190801 01/08/2019 09:52,Inativo,1,AP,"OpenDownloadDocumentos('228957','1','703065','IPE')",,
01674-8,016748 CIA RIOGRANDENSE DE SANEAMENTO,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Reforma parcial do Estatuto Social da CORSANAta",20190730 30/07/2019 14:00,20190801 01/08/2019 11:29,Ativo,1,AP,"OpenDownloadDocumentos('228968','1','703076','IPE')",,
01837-6,018376 CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Regimento interno de Comitês,,Regulamento Comitê de Recursos Humanos -,20190730 30/07/2019 09:00,20190801 01/08/2019 16:38,Inativo,1,AP,"OpenDownloadDocumentos('229017','1','703127','IPE')",,
01872-4,018724 BRADESPAR S.A.,Dados Econômico-Financeiros,Press-release,Boletim Quinzenal Bradespar -,20190731 31/07/2019,20190801 01/08/2019 15:04,Ativo,1,AP,"OpenDownloadDocumentos('229011','1','703119','IPE')",,
01882-1,018821 CCR S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 19:07,Inativo,4,RE,"OpenDownloadDocumentos('85982','4','018821FRE201920190400085982-78','')",,
01897-0,018970 AES TIETE ENERGIA SA,Assembleia,AGE,Mapa Final de Votação DetalhadoMapa final de votação detalhado,20190725 25/07/2019 15:00,20190801 01/08/2019 17:10,Ativo,1,AP,"OpenDownloadDocumentos('229025','1','703135','IPE')",,
01901-1,019011 EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,Fato Relevante,,Decisão judicial -,20190801 01/08/2019,20190801 01/08/2019 09:40,Ativo,1,AP,"OpenDownloadDocumentos('228953','1','703061','IPE')",,
01933-0,019330 TPI - TRIUNFO PARTICIP. E INVEST. S.A.,Fato Relevante,,Decisão Judicial - Econorte -,20190801 01/08/2019,20190801 01/08/2019 09:22,Ativo,1,AP,"OpenDownloadDocumentos('228949','1','703057','IPE')",,
01955-0,019550 NATURA COSMETICOS S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190801 01/08/2019 15:54,Ativo,3,RE,"OpenDownloadDocumentos('229014','3','703124','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Dados Econômico-Financeiros,Press-release,Release de Resultados 2T19 (português) -,20190630 30/06/2019,20190801 01/08/2019 08:00,Inativo,1,AP,"OpenDownloadDocumentos('228924','1','703031','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Dados Econômico-Financeiros,Press-release,Release de Resultados 2T19 (Inglês) -,20190630 30/06/2019,20190801 01/08/2019 08:01,Ativo,1,AP,"OpenDownloadDocumentos('228926','1','703034','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Fato Relevante,,GOL Revisa Projeções Financeiras -,20190801 01/08/2019,20190801 01/08/2019 08:02,Ativo,1,AP,"OpenDownloadDocumentos('228927','1','703035','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Fato Relevante,,GOL anuncia Plano de Recompra de Ações -,20190731 31/07/2019,20190801 01/08/2019 08:13,Ativo,1,AP,"OpenDownloadDocumentos('228929','1','703037','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,Versão português -,20190630 30/06/2019,20190801 01/08/2019 08:20,Ativo,1,AP,"OpenDownloadDocumentos('228932','1','703040','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,Versão em InglêsDemonstrações Financeiras com reconciliação para IFRS,20190630 30/06/2019,20190801 01/08/2019 08:20,Ativo,1,AP,"OpenDownloadDocumentos('228933','1','703041','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Reunião da Administração,Conselho de Administração,"(i) a aprovação das Demonstrações Financeiras da Companhia relativas ao segundo trimestre de 2019;,(ii) a homologação do aumento de capital social;,(iii) a concessão de garantia pela Companhia à Gol Linhas Aéreas S.A. (“GLA”), controlada da Companhia, no Contrato Global de Derivativos;,(iv) a celebração de um Contrato de Crédito (“Credit Agreement”);,(v) outros.Ata",20190731 31/07/2019 12:00,20190801 01/08/2019 08:30,Ativo,1,AP,"OpenDownloadDocumentos('228935','1','703043','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultados 2T19 -,20190801 01/08/2019,20190801 01/08/2019 08:33,Inativo,1,AP,"OpenDownloadDocumentos('228936','1','703044','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação de Resultados 2T19 -,20190801 01/08/2019,20190801 01/08/2019 08:52,Ativo,2,RE,"OpenDownloadDocumentos('228944','2','703052','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20190731 31/07/2019 12:00,20190801 01/08/2019 09:29,Ativo,1,AP,"OpenDownloadDocumentos('228951','1','703059','IPE')",,
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES SA,ITR,,,20190630 30/06/2019,20190801 01/08/2019 08:33,Ativo,1,AP,"OpenDownloadDocumentos('85961','1','019569ITR300620190100085961-85','ITR')",,
01961-5,019615 GRENDENE S.A.,Reunião da Administração,Diretoria,"Examinar e discutir o desempenho da Companhia no 2º trimestre do exercício social de 2019 e as respectivas informações financeiras.,Propor ao Conselho de Administração a 2ª distribuição antecipada de dividendos do exercício de 2019.Ata",20190731 31/07/2019 14:00,20190801 01/08/2019 18:08,Ativo,1,AP,"OpenDownloadDocumentos('229043','1','703154','IPE')",,
01961-5,019615 GRENDENE S.A.,Reunião da Administração,Conselho de Administração,"Apresentar o andamento do Programa de adaptação as regras do Novo Mercado.,Aprovar a 2ª distribuição antecipada de dividendos referente ao período até 30/06/2019.,Deliberar sobre a alteração do Regulamento do Plano de Outorga de Opções de Compra ou Subscrição de Ações da Companhia,Examinar e discutir o desempenho da Companhia no 2º trimestre do exercício social de 2019 e as respectivas informações financeiras.Ata",20190801 01/08/2019 14:00,20190801 01/08/2019 18:09,Inativo,1,AP,"OpenDownloadDocumentos('229045','1','703156','IPE')",,
01961-5,019615 GRENDENE S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,Informações Financeiras do 2T19 -,20190630 30/06/2019,20190801 01/08/2019 18:14,Ativo,1,AP,"OpenDownloadDocumentos('229047','1','703158','IPE')",,
01961-5,019615 GRENDENE S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,Versão em InglêsDemonstrações Financeiras em IFRS,20190630 30/06/2019,20190801 01/08/2019 18:15,Ativo,1,AP,"OpenDownloadDocumentos('229049','1','703160','IPE')",,
01961-5,019615 GRENDENE S.A.,Dados Econômico-Financeiros,Press-release,Comentário de desempenho do 2T19 -,20190630 30/06/2019,20190801 01/08/2019 18:16,Ativo,1,AP,"OpenDownloadDocumentos('229050','1','703161','IPE')",,
01961-5,019615 GRENDENE S.A.,Aviso aos Acionistas,Outros avisos,Distribuição antecipada de dividendos referente ao período até 30/06/2019 -,20190801 01/08/2019,20190801 01/08/2019 18:17,Ativo,1,AP,"OpenDownloadDocumentos('229051','1','703162','IPE')",,
01961-5,019615 GRENDENE S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,Apresentação Audioconferência resultado do 2T19 -,20190801 01/08/2019,20190801 01/08/2019 18:18,Ativo,1,AP,"OpenDownloadDocumentos('229052','1','703163','IPE')",,
01961-5,019615 GRENDENE S.A.,Plano de Remuneração Baseado em Ações,,,20080414 14/04/2008,20190801 01/08/2019 18:37,Ativo,1,AP,"OpenDownloadDocumentos('229079','1','703190','IPE')",,
01961-5,019615 GRENDENE S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 18:19,Inativo,2,RE,"OpenDownloadDocumentos('85977','2','019615FRE201920190200085977-70','')",,
01961-5,019615 GRENDENE S.A.,ITR,,,20190630 30/06/2019,20190801 01/08/2019 18:13,Ativo,1,AP,"OpenDownloadDocumentos('85976','1','019615ITR300620190100085976-71','ITR')",,
01962-3,019623 DIAGNOSTICOS DA AMERICA S.A.,Formulário de Referência,,,20190101 2019,20190801 01/08/2019 17:24,Inativo,3,RE,"OpenDownloadDocumentos('85971','3','019623FRE201920190300085971-76','')",,
01973-9,019739 LOCALIZA RENT A CAR S.A.,Reunião da Administração,Conselho de Administração,Aprovar os resultados do 2T19 e sua respectiva divulgação ao mercadoAta,20190801 01/08/2019 08:00,20190801 01/08/2019 18:13,Ativo,1,AP,"OpenDownloadDocumentos('229046','1','703157','IPE')",,
01973-9,019739 LOCALIZA RENT A CAR S.A.,Dados Econômico-Financeiros,Press-release,Earnings Release 2T19 -,20190630 30/06/2019,20190801 01/08/2019 18:43,Ativo,1,AP,"OpenDownloadDocumentos('229086','1','703197','IPE')",,
01973-9,019739 LOCALIZA RENT A CAR SA,ITR,,,20190630 30/06/2019,20190801 01/08/2019 19:03,Ativo,1,AP,"OpenDownloadDocumentos('85981','1','019739ITR300620190100085981-85','ITR')",,
01999-2,019992 TOTVS S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",20190801 01/08/2019,20190801 01/08/2019 18:37,Ativo,1,AP,"OpenDownloadDocumentos('229080','1','703191','IPE')",,
01999-2,019992 TOTVS S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,20190801 01/08/2019,20190801 01/08/2019 18:53,Ativo,1,AP,"OpenDownloadDocumentos('229105','1','703216','IPE')",,
