cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download
00525-8,005258 RAIA DROGASIL S.A.,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,20190902 02/09/2019,20190902 02/09/2019 19:28,Ativo,1,AP,"OpenDownloadDocumentos('234483','1','709106','IPE')"
00541-0,005410 WEG S.A.,Reunião da Administração,Conselho de Administração,"Planejamento Sucessório e Reestruturação na Unidade Motores,Ata",20190830 30/08/2019 16:00,20190902 02/09/2019 09:51,Inativo,1,AP,"OpenDownloadDocumentos('234352','1','708952','IPE')"
00541-0,005410 WEG S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Planejamento Sucessório e Reestruturação na Unidade Motores, -",20190902 02/09/2019,20190902 02/09/2019 09:55,Ativo,1,AP,"OpenDownloadDocumentos('234353','1','708953','IPE')"
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190801 08/2019,20190902 02/09/2019 13:19,Ativo,1,AP,"OpenDownloadDocumentos('234379','1','708980','IPE')"
00607-6,006076 FINANSINOS S.A.- CREDITO FINANC E INVEST,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190902 02/09/2019 13:21,Ativo,1,AP,"OpenDownloadDocumentos('234380','1','708981','IPE')"
00650-5,006505 VIA VAREJO S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Plano de Outorga de Opção de Compra de Ações,rerratificação da remuneração global da administração aprovada na Assembleia Geral Ordinária da Companhia realizada em 25 de abril de 2019,Ata",20190902 02/09/2019 10:00,20190902 02/09/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('234434','1','709052','IPE')"
00650-5,006505 VIA VAREJO S.A.,Assembleia,AGE,"Mapa Sintético Consolidado - Final,Mapa Final de Votação Sintético",20190902 02/09/2019 10:00,20190902 02/09/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('234435','1','709053','IPE')"
00670-0,006700 HOTEIS OTHON S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Negociações atípicas de valores mobiliários, -",20190902 02/09/2019,20190902 02/09/2019 09:35,Ativo,1,AP,"OpenDownloadDocumentos('234349','1','708949','IPE')"
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,"Destinação dos Resultados,Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,Ata",20190902 02/09/2019 09:00,20190902 02/09/2019 18:10,Ativo,1,AP,"OpenDownloadDocumentos('234438','1','709056','IPE')"
00759-5,007595 INEPAR S.A. INDUSTRIA E CONSTRUCOES,Assembleia,AGO,"Mapa Final de Votação Sintético,Mapa Final de Votação Sintético",20190902 02/09/2019 09:00,20190902 02/09/2019 18:24,Ativo,1,AP,"OpenDownloadDocumentos('234442','1','709060','IPE')"
00761-7,007617 ITAUSA INVESTIMENTOS ITAU S.A.,Reunião da Administração,Conselho de Administração,"Eleição de Diretores Gerentes,Ata",20190902 02/09/2019 08:00,20190902 02/09/2019 15:41,Ativo,1,AP,"OpenDownloadDocumentos('234400','1','709005','IPE')"
00819-2,008192 TREVISA INVESTIMENTOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190902 02/09/2019 10:28,Ativo,1,AP,"OpenDownloadDocumentos('234359','1','708959','IPE')"
00819-2,008192 TREVISA INVESTIMENTOS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190902 02/09/2019 10:28,Ativo,1,AP,"OpenDownloadDocumentos('234360','1','708960','IPE')"
00904-0,009040 NADIR FIGUEIREDO IND E COM S.A.,Fato Relevante,,"Fechamento do Contrato de Compra e Venda de Ações e Outras Avenças, -",20190902 02/09/2019,20190902 02/09/2019 18:29,Inativo,1,AP,"OpenDownloadDocumentos('234443','1','709061','IPE')"
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Petrobras divulga início de fase vinculante para a venda de ativos de E&P em águas rasas na Bacia de Campos, -",20190202 02/02/2019,20190902 02/09/2019 19:53,Ativo,1,AP,"OpenDownloadDocumentos('234487','1','709110','IPE')"
00951-2,009512 PETROLEO BRASILEIRO S.A. PETROBRAS,Comunicação sobre Transação entre Partes Relacionadas,,"Comunicação sobre Transação com Parte Relacionada - PB x Stratura - 22/08/2019, -",20190822 22/08/2019,20190902 02/09/2019 20:21,Ativo,1,AP,"OpenDownloadDocumentos('234489','1','709112','IPE')"
00995-4,009954 ALFA HOLDINGS S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Negociações atípicas de valores mobiliários, -",20190902 02/09/2019,20190902 02/09/2019 17:07,Ativo,1,AP,"OpenDownloadDocumentos('234413','1','709018','IPE')"
01045-6,010456 ALPARGATAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190902 02/09/2019 14:14,Ativo,1,AP,"OpenDownloadDocumentos('234386','1','708987','IPE')"
01045-6,010456 ALPARGATAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190801 08/2019,20190902 02/09/2019 14:17,Ativo,1,AP,"OpenDownloadDocumentos('234388','1','708989','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",20190829 29/08/2019,20190902 02/09/2019 14:33,Ativo,2,RE,"OpenDownloadDocumentos('234390','2','708991','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",20190902 02/09/2019,20190902 02/09/2019 17:47,Ativo,1,AP,"OpenDownloadDocumentos('234418','1','709024','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Outros documentos,"Relatório Mensal de Atividades - Jul/19, -",20190831 31/08/2019,20190902 02/09/2019 18:36,Cancelado,1,AP,"OpenDownloadDocumentos('234447','1','709065','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Plano de Recuperação,"Plano de Recuperação Judicial Aprovado em Assembleia Geral de Credores - Versão 04 - parte 1, -",20190829 29/08/2019,20190902 02/09/2019 18:44,Ativo,1,AP,"OpenDownloadDocumentos('234450','1','709069','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Plano de Recuperação,"Plano de Recuperação Judicial Aprovado em Assembleia Geral de Credores - Versão 04 - Parte 2, -",20190829 29/08/2019,20190902 02/09/2019 18:46,Ativo,1,AP,"OpenDownloadDocumentos('234451','1','709071','IPE')"
01047-2,010472 SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Plano de Recuperação,"Plano de Recuperação Judicial Aprovado em Assembleia Geral de Credores - Versão 04 - Parte3, -",20190829 29/08/2019,20190902 02/09/2019 18:47,Ativo,1,AP,"OpenDownloadDocumentos('234452','1','709073','IPE')"
01047-2,010472 SARAIVA SA LIVREIROS EDITORES,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 17:17,Inativo,2,RE,"OpenDownloadDocumentos('87104','2','010472FRE201920190200087104-78','')"
01096-0,010960 SPRINGER S.A.,OPA - Edital de Oferta Pública de Ações,,,20191003 03/10/2019,20190902 02/09/2019 15:45,Ativo,2,RE,"OpenDownloadDocumentos('234401','2','709006','IPE')"
01131-2,011312 OI S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Resposta ao Oficio da CVM, -",20190902 02/09/2019,20190902 02/09/2019 16:24,Ativo,1,AP,"OpenDownloadDocumentos('234404','1','709009','IPE')"
01431-1,014311 CIA PARANAENSE DE ENERGIA - COPEL,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"BRI 21 19 - Esclarecimentos sobre consulta da B3, -",20190830 30/08/2019,20190902 02/09/2019 10:17,Ativo,1,AP,"OpenDownloadDocumentos('234357','1','708957','IPE')"
01444-3,014443 CIA SANEAMENTO BASICO EST SAO PAULO,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Aviso de Consulta Pública 10/2019 - PDI, -",20190902 02/09/2019,20190902 02/09/2019 19:16,Ativo,1,AP,"OpenDownloadDocumentos('234466','1','709089','IPE')"
01563-6,015636 CIA GAS DE SAO PAULO - COMGAS,Reunião da Administração,Conselho de Administração,"Aprovar a celebração de aditivo contratual de compra e venda de gás natural,Ata",20190822 22/08/2019 10:00,20190902 02/09/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('234433','1','709051','IPE')"
01610-1,016101 GAFISA S.A.,Reunião da Administração,Conselho de Administração,"Nomeação Diretor Estatutário, Renúncia de Diretor e Aprovação de Contrato de Financiamento,Ata",20190829 29/08/2019 16:00,20190902 02/09/2019 18:38,Ativo,1,AP,"OpenDownloadDocumentos('234448','1','709067','IPE')"
01630-6,016306 ROSSI RESIDENCIAL S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras em Padrões Internacionais,"Versão em Inglês,Demonstrações Financeiras em IFRS",20190630 30/06/2019,20190902 02/09/2019 19:36,Ativo,1,AP,"OpenDownloadDocumentos('234486','1','709109','IPE')"
01637-3,016373 CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 17:35,Inativo,5,RE,"OpenDownloadDocumentos('87105','5','016373FRE201920190500087105-81','')"
01732-9,017329 ENGIE BRASIL ENERGIA S.A.,Fato Relevante,,"Incorporação Societária Envolvendo Controladas, -",20190902 02/09/2019,20190902 02/09/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('234432','1','709050','IPE')"
01828-7,018287 CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Dados Econômico-Financeiros,Relatório de Agência de Rating,"Relatório Agencia de Rating - 9ª, 10ª e 11ª Séries da 1ª emissão de CRA da Cibrasec, -",20190628 28/06/2019,20190902 02/09/2019 10:05,Ativo,1,AP,"OpenDownloadDocumentos('234354','1','708954','IPE')"
01828-7,018287 CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Dados Econômico-Financeiros,Relatório de Agência de Rating,"Relatório Agencia de Rating - 3ª emissão de CRA da Cibrasec, -",20190816 16/08/2019,20190902 02/09/2019 10:23,Ativo,1,AP,"OpenDownloadDocumentos('234358','1','708958','IPE')"
01837-6,018376 CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Fitch Afirma Rating da ISA CTEEP em 'AAA+(bra)' – perspectiva Estável, -",20190930 30/09/2019,20190902 02/09/2019 15:17,Cancelado,1,AP,"OpenDownloadDocumentos('234399','1','709004','IPE')"
01862-7,018627 CIA SANEAMENTO DO PARANA - SANEPAR,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,"Resposta ao Ofício B3 nº 787/2019-SLS referente Movimentação atípica de Ações, -",20190902 02/09/2019,20190902 02/09/2019 19:03,Ativo,1,AP,"OpenDownloadDocumentos('234459','1','709082','IPE')"
01872-4,018724 BRADESPAR S.A.,Dados Econômico-Financeiros,Press-release,"Boletim Quinzenal, -",20190830 30/08/2019,20190902 02/09/2019 14:14,Ativo,1,AP,"OpenDownloadDocumentos('234387','1','708988','IPE')"
01877-5,018775 INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 11:06,Inativo,5,RE,"OpenDownloadDocumentos('87097','5','018775FRE201920190500087097-86','')"
01882-1,018821 CCR S.A.,Reunião da Administração,Conselho de Administração,"Diversas matérias,Ata",20190829 29/08/2019 14:00,20190902 02/09/2019 18:09,Ativo,1,AP,"OpenDownloadDocumentos('234436','1','709054','IPE')"
01901-1,019011 EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,Fato Relevante,,"Pedido de Renuncia e Eleição de Novo Diretor Presidente e Diretor de Engenharia, -",20190902 02/09/2019,20190902 02/09/2019 18:10,Ativo,1,AP,"OpenDownloadDocumentos('234437','1','709055','IPE')"
01901-1,019011 EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,Reunião da Administração,Conselho de Administração,"Pedido de Renuncia e Eleição de Novo Diretor Presidente e Diretor de Engenharia,Ata",20190830 30/08/2019 14:00,20190902 02/09/2019 18:11,Ativo,1,AP,"OpenDownloadDocumentos('234439','1','709057','IPE')"
01918-6,019186 SANEAMENTO DE GOIAS SA,Assembleia,AGE,"1. Ratificar o nome do funcionário eleito pelos empregados para representá-los no Conselho de Administração da Companhia;,Ata",20190830 30/08/2019 09:00,20190902 02/09/2019 08:41,Ativo,1,AP,"OpenDownloadDocumentos('234340','1','708940','IPE')"
01934-8,019348 ITAU UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Liquidação financeira - PAT, -",20190902 02/09/2019,20190902 02/09/2019 06:09,Ativo,1,AP,"OpenDownloadDocumentos('234333','1','708933','IPE')"
01944-5,019445 COMPANHIA DE SANEAMENTO DE MINAS GERAIS,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 18:11,Inativo,9,RE,"OpenDownloadDocumentos('87107','9','019445FRE201920190900087107-81','')"
01955-0,019550 NATURA COSMETICOS SA,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 16:59,Inativo,3,RE,"OpenDownloadDocumentos('87103','3','019550FRE201920190300087103-74','')"
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Aviso aos Acionistas,Outros avisos,"Bônus de Subscrição, -",20190902 02/09/2019,20190902 02/09/2019 21:34,Ativo,1,AP,"OpenDownloadDocumentos('234491','1','709114','IPE')"
01957-7,019577 CONC RODOVIA PRES. DUTRA S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Ata",20190902 02/09/2019 11:00,20190902 02/09/2019 21:36,Ativo,1,AP,"OpenDownloadDocumentos('234492','1','709115','IPE')"
01973-9,019739 LOCALIZA RENT A CAR S.A.,Reunião da Administração,Conselho de Administração,"Compra de empresa franqueada,Ata",20190831 31/08/2019 10:00,20190902 02/09/2019 08:40,Inativo,1,AP,"OpenDownloadDocumentos('234338','1','708938','IPE')"
01973-9,019739 LOCALIZA RENT A CAR S.A.,Fato Relevante,,"Compra de empresa franqueada, -",20190831 31/08/2019,20190902 02/09/2019 08:44,Inativo,1,AP,"OpenDownloadDocumentos('234342','1','708942','IPE')"
01973-9,019739 LOCALIZA RENT A CAR S.A.,Reunião da Administração,Conselho de Administração,"Compra de empresa franqueada,Ata",20190831 31/08/2019 10:00,20190902 02/09/2019 14:38,Ativo,2,RE,"OpenDownloadDocumentos('234391','2','708992','IPE')"
01973-9,019739 LOCALIZA RENT A CAR S.A.,Fato Relevante,,"Compra de empresa franqueada, -",20190831 31/08/2019,20190902 02/09/2019 14:40,Ativo,2,RE,"OpenDownloadDocumentos('234392','2','708993','IPE')"
01976-3,019763 EDP - ENERGIAS DO BRASIL S.A.,Política de Transações entre Partes Relacionadas,,,20161031 31/10/2016 14:00,20190902 02/09/2019 18:49,Ativo,1,AP,"OpenDownloadDocumentos('234454','1','709077','IPE')"
02003-6,020036 BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Reunião da Administração,Conselho Fiscal,"Parecer acerca das Demonstrações Financeiras,Ata",20190902 02/09/2019 10:30,20190902 02/09/2019 23:33,Ativo,1,AP,"OpenDownloadDocumentos('234493','1','709116','IPE')"
02003-6,020036 BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Dados Econômico-Financeiros,Press-release,"Release de Resultados 4T19 e 2019 - português e inglês, -",20190630 30/06/2019,20190902 02/09/2019 23:33,Ativo,1,AP,"OpenDownloadDocumentos('234494','1','709117','IPE')"
02003-6,020036 BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Dados Econômico-Financeiros,Demonstrações Financeiras Anuais Completas,,20190630 30/06/2019,20190902 02/09/2019 23:34,Ativo,1,AP,"OpenDownloadDocumentos('234495','1','709118','IPE')"
02003-6,020036 BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Fato Relevante,,"Venda Fazenda Jatobá, -",20190902 02/09/2019,20190902 02/09/2019 23:36,Ativo,1,AP,"OpenDownloadDocumentos('234496','1','709119','IPE')"
02003-6,020036 BRASILAGRO CIA BRAS DE PROP AGRICOLAS,DFP,,,20190630 30/06/2019,20190902 02/09/2019 23:24,Ativo,1,AP,"OpenDownloadDocumentos('87110','1','020036DFP300620190100087110-84','DFP')"
02035-4,020354 TERRA SANTA AGRO S.A.,Reunião da Administração,Conselho de Administração,"Comunicação e apreciação ao pedido de renúncia do Diretor Executivo Financeiro,Ata",20190830 30/08/2019 11:00,20190902 02/09/2019 17:58,Ativo,1,AP,"OpenDownloadDocumentos('234429','1','709044','IPE')"
02035-4,020354 TERRA SANTA AGRO S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Renúncia Diretor Financeiro, -",20190902 02/09/2019,20190902 02/09/2019 17:58,Ativo,1,AP,"OpenDownloadDocumentos('234430','1','709045','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Reunião da Administração,Conselho de Administração,"13ª (décima terceira) emissão de debêntures,Ata",20190731 31/07/2019 10:00,20190902 02/09/2019 16:42,Ativo,1,AP,"OpenDownloadDocumentos('234408','1','709013','IPE')"
02060-5,020605 JHSF PARTICIPACOES S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,"Entrevista para o quadro Imoveis da TV Infomoney, -",20190902 02/09/2019,20190902 02/09/2019 14:47,Ativo,1,AP,"OpenDownloadDocumentos('234394','1','708996','IPE')"
02063-0,020630 CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 11:56,Inativo,3,RE,"OpenDownloadDocumentos('87099','3','020630FRE201920190300087099-83','')"
02077-0,020770 EZ TEC EMPREEND. E PARTICIPACOES S.A.,Fato Relevante,,"Notícia veiculada na coluna “Broadcast"", -",20190902 02/09/2019,20190902 02/09/2019 08:00,Ativo,1,AP,"OpenDownloadDocumentos('234334','1','708934','IPE')"
02081-8,020818 ISEC SECURITIZADORA S.A.,Assembleia,AGCRI,"ATA DE ASSEMBLEIA GERAL EXTRAORDINÁRIA DOS TITULARES DE CERTIFICADOS DE RECEBÍVEIS IMOBILIÁRIOS DA 16ª E 17ª SÉRIES DA 1ª EMISSÃO DA ISEC SECURITIZADORA ,Ata",20190902 02/09/2019 11:00,20190902 02/09/2019 16:51,Ativo,1,AP,"OpenDownloadDocumentos('234410','1','709015','IPE')"
02093-1,020931 MINERVA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Restrição Cambial Argentina, -",20190902 02/09/2019,20190902 02/09/2019 17:48,Ativo,1,AP,"OpenDownloadDocumentos('234419','1','709025','IPE')"
02095-8,020958 BCO ABC BRASIL S.A.,Ato Homologatório emitido pelo Banco Central,,"Eleição de Diretor(es), -",20190829 29/08/2019,20190902 02/09/2019 17:49,Ativo,1,AP,"OpenDownloadDocumentos('234420','1','709026','IPE')"
02104-0,021040 CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Reunião da Administração,Conselho de Administração,"(i) realização de oferta pública de distribuição primária de ações ordinárias de emissão da Companhia,(ii) a exclusão do direito de preferência dos atuais acionistas da Companhia na subscrição das Ações, a serem emitidas no âmbito da Oferta,(iii) a autorização à diretoria da Companhia para tomar as medidas necessárias à realização da Oferta e ao cumprimento das deliberações tomadas nesta reunião do Conselho de Administração,Ata",20190902 02/09/2019 10:00,20190902 02/09/2019 18:11,Ativo,1,AP,"OpenDownloadDocumentos('234440','1','709058','IPE')"
02104-0,021040 CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Fato Relevante,,"Aprovação da Oferta Pública de Distribuição Primária de Novas Ações Ordinárias, -",20190902 02/09/2019,20190902 02/09/2019 18:49,Ativo,1,AP,"OpenDownloadDocumentos('234453','1','709076','IPE')"
02104-0,021040 CYRELA COMMERCIAL PROPERT S.A. EMPR PART,Formulário de Referência,,,20190101 2019,20190902 02/09/2019 17:48,Inativo,3,RE,"OpenDownloadDocumentos('87106','3','021040FRE201920190300087106-83','')"
02109-1,021091 DURATEX S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Encerramento da Operação da Unidade de Revestimento Cerâmico de Santa Luzia (MG), -",20190902 02/09/2019,20190902 02/09/2019 08:51,Ativo,1,AP,"OpenDownloadDocumentos('234344','1','708944','IPE')"
02113-0,021130 TRISUL S.A.,Fato Relevante,,"Aprovação de Oferta Pública, -",20190830 30/08/2019,20190902 02/09/2019 08:03,Ativo,2,RE,"OpenDownloadDocumentos('234335','2','708935','IPE')"
02114-8,021148 CONSTRUTORA TENDA S.A.,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,"Apresentação Institucional, -",20190902 02/09/2019,20190902 02/09/2019 09:04,Ativo,1,AP,"OpenDownloadDocumentos('234348','1','708948','IPE')"
